name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
10034,OSQP_high,optimal,793.1492459774017,54300,-0.06601292009247064,40400,80600,280404,0,0.299827555,792.851494513,0.0,5,0.0002959144481056038
10038,OSQP_high,optimal,994.578370809555,13275,-0.05167417569515225,160800,321200,1120804,0,4.34360103,990.223520047,0.0,3,0.00015284454656961635
8495,OSQP_high,optimal,1.9244358539581299,225,42857.49634310832,27543,35543,100572,0,0.301315474,1.620077378,0.0,2,0.5197756374738952
8500,OSQP_high,time_limit,1000.2095942497253,5452,0.21242476910818497,250997,501495,1561997,0,19.88339273,980.286494645,0.0,5,3.27290378787183e-05
8515,OSQP_high,optimal,0.0787057876586914,50,-0.0012473339124151118,16002,24004,96008,0,0.017467612,0.056171678,0.0,1,1e-06
8547,OSQP_high,time_limit,1000.2388911247253,1173,-0.0033560452028502004,1003001,2004001,7006002,0,127.700294368,872.42770382,0.0,3,1.3356080812841313e-05
8559,OSQP_high,optimal,129.06968784332275,12850,108703651.56077655,10000,15000,94966,0,2.284030672,126.782347559,0.0,3,7761.642134810475
8567,OSQP_high,optimal,18.511234045028687,850,115710849.22950023,10000,17500,102465,0,3.367054929,15.138558897,0.0,2,12204.677360007829
8602,OSQP_high,optimal,137.38745522499084,525,27353.386434182088,34552,87535,277439,0,22.473500217,114.910278909,0.0,3,0.005871743447020003
8616,OSQP_high,optimal,0.10828280448913574,125,245.06860604215697,13870,24274,55480,0,0.014778989,0.092359716,0.0,2,0.29412780908347674
8785,OSQP_high,optimal,6.922316789627075,300,7867.491108779955,10399,21761,73422,0,0.930176112,5.990766319,0.0,4,0.006539594098217863
8790,OSQP_high,optimal,1.6967320442199707,375,-0.4346687712298186,39204,39204,234432,0,0.090188128,1.592224101,0.0,0,0.0637538739026407
8792,OSQP_high,optimal,0.17425894737243652,100,1.9009674883975463,15129,15129,90282,0,0.037021312,0.130641868,0.0,0,0.15769227489470067
8845,OSQP_high,optimal,13.546493768692017,37775,13453110.376283802,1546,2323,127581,0,0.018496601,13.5217605,0.0,1,0.007262565800191053
8906,OSQP_high,optimal,5.545544385910034,5025,3014980.531386032,5223,6061,132790,0,0.032019054,5.507028014,0.0,5,0.005181567693937795
8938,OSQP_high,max_iter_reached,26.544626235961914,100000,-37.389017319286594,4001,16000,35998,0,0.010209201,26.533237441,0.0,37,1.520047695926201
8991,OSQP_high,optimal,0.3574666976928711,275,-1.2044840026642176,14400,14400,85920,0,0.024288783,0.328655681,0.0,4,0.09929664696564712
9002,OSQP_high,solver_error,33.962116956710815,100000,141217701883.7488,2890,4539,15470,0,0.014873421,33.943782533,0.0,2,0.0016541264873036374
